(1 0),0
(2 0),0
(3 0),0
(4 0),0
(5 0),0
(6 0),0
(7 0),0
(94349 3),2
(94349 9),3
(94349 11),2
(94349 17),6
(94349 19),1
(94349 27),2
(94349 33),2
(94349 40),2
(94349 49),1
(94349 50),14
(94349 51),8
(94349 52),5
(94349 53),5
(94349 63),1
(94349 71),1
(94349 72),5
(94349 74),7
(94349 75),2
(94349 77),4
(94349 78),3
(94349 86),6
(94349 97),7
(94349 99),6
(94349 106),4
(94349 109),3
(94349 110),15
(94349 112),4
(94349 991),9
(94351 5),3
(94351 38),2
(94351 44),1
(94351 49),3
(94351 58),1
(94351 60),1
(94351 63),6
(94351 64),2
(94351 66),3
(94351 75),1
(94351 76),4
(94351 77),3
(94351 82),17
(94351 93),6
(94351 103),3
(94351 107),4
(94351 108),3
(94351 114),3
(94351 118),1
(94351 121),5
(94351 126),5
(94351 127),4
(94351 133),1
(94351 134),2
(94351 140),1
(94351 141),2
(94351 144),3
(94351 146),3
(94351 154),1
(94353 3),2
(94353 5),2
(94353 7),4
(94353 12),12
(94353 14),1
(94353 20),2
(94353 25),4
(94353 27),3
(94353 31),1
(94353 32),1
(94353 36),3
(94353 44),2
(94353 51),1
(94353 55),2
(94353 56),2
(94353 65),3
(94353 68),2
(94353 69),2
(94353 72),3
(94353 80),2
(94353 87),1
(94353 90),1
(94353 93),2
(94353 101),4
(94353 104),3
(94353 106),1
(94353 111),1
(94353 120),3
(94353 128),1
(94353 130),5
(94353 142),2
(94353 156),3
(94353 164),1
(94353 198),8
(94353 199),1
(94353 202),7
(94353 210),3
(94353 212),1
(94355 2),4
(94355 6),13
(94355 9),2
(94355 14),1
(94355 23),4
(94355 28),3
(94355 45),4
(94355 51),3
(94355 85),3
(94355 90),1
(94355 96),3
(94355 117),2
(94355 121),1
(94355 123),2
(94355 133),1
(94355 135),1
(94355 143),1
(94355 145),2
(94355 154),15
(94355 176),6
(94355 186),1
(94355 193),1
(94355 212),10
(94355 235),2
(94355 991),2
(94372 20),1
(94372 21),1
(94372 80),4
(94372 87),1
(94372 88),1
(94372 91),2
(94372 94),1
(94372 104),1
(94372 120),3
(94372 127),1
(94372 129),1
(94372 149),1
(94372 193),1
(94372 197),2
(94372 199),4
(94372 203),6
(94372 211),3
(94372 216),1
(94372 218),4
(94372 225),1
(94372 236),1
(94382 10),2
(94382 11),1
(94382 16),3
(94382 22),2
(94382 41),3
(94382 68),2
(94382 72),1
(94382 76),1
(94382 113),5
(94382 119),2
(94382 127),1
(94382 140),12
(94382 991),3
(94385 7),1
(94385 25),2
(94385 29),3
(94385 39),3
(94385 43),2
(94385 73),3
(94385 77),1
(94385 80),2
(94385 81),1
(94385 97),1
(94385 105),1
(94385 113),2
(94385 120),1
(94385 143),2
(94385 170),2
(94385 214),2
(94385 218),2
(94385 997),2
(94388 19),6
(94388 37),1
(94388 45),1
(94388 46),5
(94388 53),6
(94388 68),3
(94388 87),2
(94388 91),1
