(4533540.51 5430835.52),0
(4532780.52 5438969.41),0
(4526442.10 5416744.09),0
(4534360.33 5423797.88),0
(4534303.80 5417095.69),0
(4546225.09 5430622.46),0
(4542272.67 5422984.46),0
(4533911.76 5429577.76),1
(4534312.77 5429800.52),1
(4534311.81 5428054.68),1
(4533773.32 5429674.62),4
(4534953.59 5428477.21),1
(4532086.55 5430211.73),2
(4533458.44 5430318.61),1
(4534279.66 5429604.92),2
(4533586.39 5430684.18),1
(4533978.88 5430276.70),2
(4533948.88 5430348.55),1
(4534256.41 5429845.67),3
(4533995.07 5429762.39),1
(4533947.83 5429723.29),1
(4533973.73 5429730.47),1
(4534748.12 5428165.49),1
(4534608.88 5428032.35),1
(4533408.24 5430760.48),1
(4532231.62 5429853.15),1
(4534571.36 5428797.48),3
(4534321.21 5429269.55),1
(4534325.49 5429262.05),1
(4532347.27 5429719.35),1
(4533075.87 5430505.86),1
(4533822.44 5429937.92),1
(4534090.55 5428822.04),1
(4533461.39 5429684.05),1
(4533573.95 5429774.24),1
(4533462.92 5429666.35),2
(4533448.42 5430588.53),3
(4534028.90 5429691.01),2
(4534013.32 5429829.82),1
(4534236.64 5429838.23),2
(4534199.38 5429912.08),2
(4534088.38 5429882.33),1
(2000000.00 -200000.00),27
(4534703.49 5429800.93),2
(4534434.24 5429630.58),1
(4534385.39 5429638.01),1
(4535207.27 5428816.43),1
(4535066.94 5429582.52),1
(4534411.82 5429390.98),1
(4535728.47 5428717.26),1
(4535435.23 5430302.92),1
(4535438.57 5429748.88),1
(4535017.06 5430720.83),1
(4534479.47 5430488.92),1
(4535886.79 5427960.50),4
(4534367.85 5429666.17),1
(4535667.86 5430539.46),6
(4535804.43 5430620.41),2
(4534219.38 5430446.27),2
(4534153.21 5430506.64),1
(4534828.35 5429901.34),3
(4534366.39 5430362.74),3
(4535403.28 5429899.99),1
(4535838.15 5428548.85),1
(4535159.16 5430587.36),1
(4535389.93 5430625.79),1
(4534862.38 5430626.85),1
(4534701.97 5430539.66),1
(4535763.69 5428613.46),1
(4535749.29 5427787.31),1
(4535751.58 5429098.39),1
(4534491.28 5429262.00),1
(4534963.92 5431047.58),2
(4535683.83 5429089.33),1
(4535898.17 5428463.37),1
(4533148.27 5431919.55),1
(4531331.49 5431358.67),1
(4533725.20 5430887.98),1
